Perfil,Tiras,Corte_mm,Nombre,Obra,Numero_de_Orden
MT-0200,1,1557,6 VC1 1,T32,1
MT-0200,1,1158,6 VC5 8,T32,8
MT-0200,1,1157,6 VC4 7,T32,7
MT-0200,1,1157,6 VC4 7,T32,7
MT-0200,1,958,6 VC6 10,T32,10
MT-0200,1,1557,6 VC1 1,T32,1
MT-0200,1,1555,6 VC2 2,T32,2
MT-0200,1,1555,6 VC2 2,T32,2
MT-0200,1,1160,6 VC3 3,T32,3
MT-0200,1,1554,6 VC7 11,T32,11
MT-0200,1,1554,6 VC7 11,T32,11
MT-0200,1,1160,6 VC3 3,T32,3
MT-0200,1,1158,6 VC5 8,T32,8
MT-0200,1,958,6 VC6 10,T32,10
MT-0201,1,1203,6 VC1 1,T32,1
MT-0201,1,1203,6 VC1 1,T32,1
MT-0201,1,1203,6 VC4 7,T32,7
MT-0201,1,1203,6 VC4 7,T32,7
MT-0201,1,795,6 VC2 2,T32,2
MT-0201,1,502,6 VC3 3,T32,3
MT-0201,1,1203,6 VC7 11,T32,11
MT-0201,1,1203,6 VC7 11,T32,11
MT-0201,1,1201,6 VC5 8,T32,8
MT-0201,1,1201,6 VC5 8,T32,8
MT-0201,1,795,6 VC2 2,T32,2
MT-0201,1,502,6 VC3 3,T32,3
MT-0201,1,597,6 VC6 10,T32,10
MT-0201,1,597,6 VC6 10,T32,10
MT-0203,1,1124,6 VC1 1,T32,1
MT-0203,1,1124,6 VC1 1,T32,1
MT-0203,1,1124,6 VC4 7,T32,7
MT-0203,1,1124,6 VC4 7,T32,7
MT-0203,1,1124,6 VC7 11,T32,11
MT-0203,1,423,6 VC3 3,T32,3
MT-0203,1,1124,6 VC7 11,T32,11
MT-0203,1,1122,6 VC5 8,T32,8
MT-0203,1,1122,6 VC5 8,T32,8
MT-0203,1,716,6 VC2 2,T32,2
MT-0203,1,716,6 VC2 2,T32,2
MT-0203,1,518,6 VC6 10,T32,10
MT-0203,1,518,6 VC6 10,T32,10
MT-0203,1,423,6 VC3 3,T32,3
